flow,velo,dia,t,material,Safety_Status
2296.520917,3.533,0.5,0.01509,19.3,LOW
1860.296212,3.555,0.45,0.01427,22.5,LOW
1860.296212,3.555,0.45,0.01427,19.3,LOW
2314.160391,3.559,0.5,0.01509,22.5,LOW
1861.988955,3.559,0.45,0.01427,22.5,LOW
2314.160391,3.559,0.5,0.01509,19.3,LOW
1861.988955,3.559,0.45,0.01427,19.3,LOW
1863.432139,3.561,0.45,0.01427,22.5,LOW
1863.432139,3.561,0.45,0.01427,19.3,LOW
2315.848491,3.562,0.5,0.01509,22.5,LOW
2315.848491,3.562,0.5,0.01509,19.3,LOW
2319.963627,3.568,0.5,0.01509,22.5,LOW
1475.071043,3.568,0.4,0.0127,22.5,LOW
2319.963627,3.568,0.5,0.01509,19.3,LOW
1475.071043,3.568,0.4,0.0127,19.3,LOW
2321.735618,3.572,0.5,0.01509,22.5,LOW
2321.735618,3.572,0.5,0.01509,19.3,LOW
2327.009586,3.579,0.5,0.01509,22.5,LOW
2327.009586,3.579,0.5,0.01509,19.3,LOW
1481.183643,3.583,0.4,0.0127,22.5,LOW
1481.183643,3.583,0.4,0.0127,19.3,LOW
2330.364712,3.584,0.5,0.01509,22.5,LOW
1874.956896,3.584,0.45,0.01427,22.5,LOW
1874.902822,3.584,0.45,0.01427,22.5,LOW
2330.364712,3.584,0.5,0.01509,19.3,LOW
1874.956896,3.584,0.45,0.01427,19.3,LOW
1874.902822,3.584,0.45,0.01427,19.3,LOW
2332.680428,3.588,0.5,0.01509,22.5,LOW
2332.680428,3.588,0.5,0.01509,19.3,LOW
2339.339564,3.598,0.5,0.01509,22.5,LOW
2339.339564,3.598,0.5,0.01509,19.3,LOW
2345.125234,3.607,0.5,0.01509,22.5,LOW
2345.125234,3.607,0.5,0.01509,19.3,LOW
2349.805286,3.615,0.5,0.01509,22.5,LOW
2349.611574,3.615,0.5,0.01509,22.5,LOW
2349.805286,3.615,0.5,0.01509,19.3,LOW
2349.611574,3.615,0.5,0.01509,19.3,LOW
1495.186258,3.617,0.4,0.0127,22.5,LOW
1495.186258,3.617,0.4,0.0127,19.3,LOW
2354.267152,3.621,0.5,0.01509,22.5,LOW
2354.267152,3.621,0.5,0.01509,19.3,LOW
2355.905295,3.624,0.5,0.01509,22.5,LOW
2355.905295,3.624,0.5,0.01509,19.3,LOW
2358.447255,3.627,0.5,0.01509,22.5,LOW
2358.447255,3.627,0.5,0.01509,19.3,LOW
2371.496436,3.647,0.5,0.01509,22.5,LOW
2371.496436,3.647,0.5,0.01509,19.3,LOW
2380.301592,3.661,0.5,0.01509,22.5,LOW
2380.301592,3.661,0.5,0.01509,19.3,LOW
2384.984109,3.668,0.5,0.01509,22.5,LOW
1515.53527,3.668,0.4,0.0127,22.5,LOW
2384.984109,3.668,0.5,0.01509,19.3,LOW
1515.53527,3.668,0.4,0.0127,19.3,LOW
1920.815712,3.672,0.45,0.01427,22.5,LOW
1920.815712,3.672,0.45,0.01427,19.3,LOW
2389.970096,3.676,0.5,0.01509,22.5,LOW
2389.935335,3.676,0.5,0.01509,22.5,LOW
2389.970096,3.676,0.5,0.01509,19.3,LOW
2389.935335,3.676,0.5,0.01509,19.3,LOW
2393.083244,3.681,0.5,0.01509,22.5,LOW
2393.083244,3.681,0.5,0.01509,19.3,LOW
2393.69935,3.682,0.5,0.01509,22.5,LOW
2393.69935,3.682,0.5,0.01509,19.3,LOW
1929.399146,3.687,0.45,0.01427,22.5,LOW
